N,BLOCKED,BLOCKED & PACKING,BLOCKED & PACKING & AVX (CCR),BLOCKED & PACKING & AVX (RRC to RRR packing),BLOCKED & PACKING & AVX (RRC with reduction),BLOCKED & PACKING & AVX (RRC with reduction) & OMP,GPU,GPU+Copies
2064,7.65e+00s,5.20e+00s,7.07e-01s,7.78e-01s,5.65e-01s,1.85e-01s,3.45e-01s,4.11e-01s
2128,8.34e+00s,5.69e+00s,8.02e-01s,8.39e-01s,6.20e-01s,2.00e-01s,3.68e-01s,4.47e-01s
2156,8.66e+00s,5.91e+00s,7.85e-01s,8.63e-01s,6.45e-01s,2.09e-01s,3.96e-01s,4.48e-01s
2212,9.35e+00s,6.37e+00s,8.54e-01s,9.36e-01s,6.89e-01s,2.25e-01s,4.02e-01s,4.57e-01s
2224,9.52e+00s,6.49e+00s,9.32e-01s,9.35e-01s,6.94e-01s,2.24e-01s,4.00e-01s,4.58e-01s
2248,9.80e+00s,6.72e+00s,9.23e-01s,1.04e+00s,7.28e-01s,2.40e-01s,4.00e-01s,4.86e-01s
2296,1.05e+01s,7.16e+00s,9.96e-01s,1.04e+00s,7.69e-01s,2.57e-01s,4.54e-01s,5.35e-01s
2392,1.19e+01s,8.07e+00s,1.10e+00s,1.22e+00s,8.75e-01s,2.67e-01s,4.37e-01s,5.01e-01s
2484,1.33e+01s,9.05e+00s,1.17e+00s,1.29e+00s,9.90e-01s,3.10e-01s,4.83e-01s,5.67e-01s
2568,1.48e+01s,1.00e+01s,1.36e+00s,1.52e+00s,1.12e+00s,3.33e-01s,4.81e-01s,5.70e-01s
2636,1.59e+01s,1.08e+01s,1.46e+00s,1.58e+00s,1.17e+00s,3.49e-01s,5.58e-01s,6.56e-01s
2672,1.65e+01s,1.13e+01s,1.69e+00s,1.75e+00s,1.29e+00s,3.60e-01s,5.66e-01s,7.19e-01s
2744,1.79e+01s,1.22e+01s,1.68e+00s,1.87e+00s,1.31e+00s,4.09e-01s,5.68e-01s,9.40e-01s
2788,1.87e+01s,1.28e+01s,1.67e+00s,1.83e+00s,1.42e+00s,4.09e-01s,6.44e-01s,9.57e-01s
2876,2.07e+01s,1.41e+01s,1.86e+00s,2.06e+00s,1.55e+00s,4.34e-01s,6.55e-01s,9.72e-01s
2952,2.22e+01s,1.52e+01s,2.18e+00s,2.30e+00s,1.74e+00s,4.64e-01s,7.56e-01s,8.84e-01s
3004,2.35e+01s,1.61e+01s,2.15e+00s,2.33e+00s,1.78e+00s,4.74e-01s,7.99e-01s,1.07e+00s
3008,2.37e+01s,1.62e+01s,2.17e+00s,2.42e+00s,1.72e+00s,4.94e-01s,7.51e-01s,1.03e+00s
3016,2.38e+01s,1.63e+01s,2.38e+00s,2.66e+00s,1.87e+00s,4.92e-01s,7.59e-01s,9.60e-01s
3032,2.41e+01s,1.65e+01s,2.24e+00s,2.51e+00s,1.80e+00s,5.50e-01s,6.81e-01s,9.71e-01s
3064,2.48e+01s,1.70e+01s,2.41e+00s,2.50e+00s,1.83e+00s,5.21e-01s,6.52e-01s,9.71e-01s
3128,2.63e+01s,1.81e+01s,2.46e+00s,2.75e+00s,2.00e+00s,6.28e-01s,8.00e-01s,1.29e+00s
3156,2.74e+01s,1.87e+01s,2.59e+00s,2.86e+00s,2.16e+00s,6.39e-01s,9.04e-01s,1.19e+00s
3212,2.89e+01s,1.96e+01s,2.64e+00s,2.89e+00s,2.14e+00s,6.82e-01s,9.16e-01s,1.06e+00s
3224,2.90e+01s,1.99e+01s,2.89e+00s,3.24e+00s,2.29e+00s,6.60e-01s,8.97e-01s,1.28e+00s
3248,2.97e+01s,2.03e+01s,2.80e+00s,2.93e+00s,2.16e+00s,7.02e-01s,8.68e-01s,1.16e+00s
3296,3.10e+01s,2.13e+01s,2.80e+00s,3.18e+00s,2.27e+00s,6.94e-01s,1.01e+00s,1.33e+00s
